age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
48.0,,309895.0,15.0,10.0,,5.0,3.0,,0.0,0.0,,40.0,38.0,0
67.0,1.0,,11.0,9.0,,10.0,,2.0,,0.0,0.0,,38.0,0
40.0,,182460.0,12.0,14.0,,9.0,,1.0,,0.0,0.0,38.0,2.0,1
20.0,3.0,224640.0,15.0,,4.0,,3.0,4.0,0.0,,0.0,,38.0,0
,3.0,,11.0,,,10.0,,4.0,1.0,0.0,0.0,24.0,38.0,0
50.0,3.0,221336.0,11.0,,0.0,,2.0,,0.0,,,40.0,,0
,,258298.0,,10.0,4.0,5.0,3.0,4.0,1.0,0.0,0.0,20.0,38.0,0
,,,,9.0,2.0,2.0,0.0,,,,0.0,40.0,38.0,1
,,206010.0,2.0,8.0,4.0,,3.0,4.0,0.0,0.0,0.0,8.0,38.0,0
25.0,,74883.0,9.0,13.0,4.0,,1.0,,0.0,,1092.0,40.0,29.0,0
46.0,3.0,251786.0,3.0,,,,1.0,4.0,,0.0,0.0,40.0,25.0,0
56.0,,176280.0,,,,,1.0,,1.0,0.0,0.0,50.0,38.0,0
26.0,,162302.0,,10.0,4.0,6.0,1.0,,,,,,,0
62.0,,215944.0,4.0,3.0,,4.0,0.0,,1.0,0.0,0.0,30.0,38.0,0
,,,15.0,10.0,2.0,,0.0,4.0,,0.0,0.0,40.0,10.0,0
26.0,6.0,169323.0,12.0,14.0,,9.0,,4.0,0.0,0.0,0.0,40.0,,0
50.0,,139464.0,9.0,13.0,,9.0,4.0,,,,0.0,,,0
,3.0,,9.0,,2.0,,0.0,4.0,1.0,0.0,0.0,50.0,38.0,1
,3.0,52028.0,,2.0,,,5.0,1.0,0.0,,,,39.0,0
18.0,,258474.0,0.0,6.0,4.0,4.0,,,1.0,,0.0,40.0,38.0,0
23.0,3.0,53306.0,11.0,9.0,4.0,2.0,1.0,4.0,,0.0,0.0,30.0,,0
,1.0,189956.0,9.0,13.0,2.0,9.0,5.0,,,,0.0,,38.0,1
34.0,,240252.0,,14.0,2.0,3.0,0.0,4.0,,0.0,0.0,,38.0,1
,3.0,169104.0,9.0,13.0,4.0,,3.0,1.0,1.0,0.0,0.0,,,0
,3.0,172664.0,15.0,10.0,2.0,,,4.0,,0.0,0.0,,,1
50.0,5.0,167728.0,,16.0,2.0,9.0,,4.0,1.0,0.0,,60.0,38.0,1
43.0,0.0,92775.0,,11.0,,2.0,1.0,,,0.0,,40.0,38.0,0
54.0,-1.0,410114.0,11.0,,2.0,,0.0,4.0,1.0,0.0,0.0,40.0,38.0,0
49.0,3.0,237920.0,10.0,16.0,,,,4.0,,0.0,0.0,60.0,38.0,0
,1.0,,,10.0,4.0,,1.0,1.0,,0.0,,40.0,39.0,0
45.0,3.0,,,13.0,0.0,,4.0,4.0,0.0,,0.0,,38.0,1
41.0,3.0,,,9.0,5.0,,4.0,,0.0,,0.0,40.0,38.0,0
,3.0,234387.0,11.0,9.0,,,4.0,2.0,0.0,0.0,0.0,,38.0,0
,3.0,70645.0,,,4.0,7.0,,,,,0.0,,38.0,0
30.0,3.0,55481.0,12.0,14.0,4.0,12.0,4.0,4.0,1.0,,0.0,,26.0,0
28.0,,,15.0,10.0,,2.0,,4.0,,,0.0,40.0,38.0,0
29.0,0.0,,15.0,10.0,4.0,7.0,1.0,4.0,0.0,,0.0,40.0,38.0,1
23.0,3.0,197904.0,11.0,9.0,4.0,7.0,4.0,4.0,0.0,,,35.0,38.0,0
42.0,,217826.0,11.0,9.0,4.0,2.0,3.0,,1.0,,0.0,,-1.0,0
43.0,3.0,300528.0,15.0,10.0,2.0,13.0,0.0,4.0,1.0,0.0,0.0,,,0
31.0,3.0,62165.0,,9.0,,7.0,,2.0,1.0,,0.0,40.0,38.0,0
,3.0,397280.0,7.0,,4.0,9.0,1.0,,1.0,,0.0,50.0,38.0,1
31.0,,,9.0,13.0,2.0,9.0,,4.0,0.0,0.0,,35.0,38.0,1
,4.0,246025.0,,9.0,5.0,11.0,4.0,4.0,0.0,0.0,,20.0,15.0,0
52.0,1.0,186117.0,,,2.0,10.0,0.0,4.0,1.0,0.0,0.0,56.0,,1
,3.0,340476.0,11.0,9.0,5.0,11.0,4.0,4.0,,0.0,0.0,35.0,38.0,0
20.0,,113307.0,5.0,,4.0,6.0,2.0,4.0,1.0,0.0,,,38.0,0
33.0,,,,9.0,5.0,5.0,4.0,4.0,1.0,,0.0,,,0
,,,,,4.0,10.0,1.0,4.0,1.0,0.0,0.0,40.0,38.0,0
32.0,3.0,134886.0,11.0,,,,,4.0,0.0,0.0,,40.0,38.0,1
43.0,3.0,118536.0,,9.0,0.0,6.0,2.0,,1.0,0.0,0.0,40.0,38.0,0
41.0,,,12.0,14.0,0.0,,,,0.0,,0.0,40.0,,0
21.0,-1.0,,15.0,10.0,,-1.0,4.0,,0.0,0.0,,,,0
,,132601.0,9.0,13.0,2.0,11.0,,,1.0,0.0,0.0,55.0,38.0,1
23.0,,55492.0,8.0,11.0,,-1.0,1.0,0.0,0.0,0.0,,,,0
,3.0,147560.0,15.0,10.0,2.0,11.0,,,,0.0,,55.0,38.0,1
,,219591.0,,,,,,,1.0,0.0,0.0,50.0,38.0,0
25.0,3.0,,,12.0,4.0,,1.0,4.0,,,0.0,,38.0,0
22.0,6.0,124942.0,,10.0,4.0,7.0,,,1.0,,0.0,45.0,38.0,0
18.0,3.0,,,7.0,4.0,,3.0,,,0.0,0.0,24.0,38.0,0
26.0,1.0,425092.0,12.0,,4.0,9.0,1.0,4.0,,,,40.0,38.0,0
,3.0,,4.0,3.0,2.0,4.0,0.0,4.0,1.0,3411.0,0.0,40.0,,0
45.0,,106113.0,15.0,,,3.0,0.0,4.0,1.0,,,40.0,38.0,1
29.0,,,15.0,10.0,0.0,,,,,0.0,0.0,,38.0,0
46.0,3.0,110171.0,15.0,,2.0,,,,1.0,7688.0,0.0,40.0,,1
19.0,3.0,243941.0,15.0,,,11.0,3.0,0.0,,0.0,1721.0,,,0
