checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
,36.0,2.0,,4473.0,0.0,4.0,4.0,,0.0,2.0,2.0,,,1.0,,2.0,,,,1
3.0,15.0,,4.0,,0.0,4.0,4.0,2.0,,4.0,2.0,46.0,2.0,1.0,2.0,2.0,1.0,,,1
1.0,60.0,,,7418.0,4.0,2.0,,2.0,0.0,1.0,0.0,27.0,2.0,,,1.0,1.0,0.0,0.0,1
,12.0,4.0,9.0,1185.0,0.0,2.0,3.0,1.0,,,0.0,,,,2.0,,1.0,0.0,,1
,6.0,4.0,,1237.0,,2.0,1.0,1.0,0.0,1.0,1.0,27.0,2.0,1.0,2.0,2.0,1.0,0.0,,1
1.0,24.0,,9.0,4241.0,0.0,,1.0,,0.0,4.0,0.0,36.0,,1.0,,,1.0,1.0,,0
1.0,,,1.0,6948.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,,1.0,3.0,1.0,,0.0,1
,36.0,3.0,9.0,2145.0,,3.0,2.0,2.0,0.0,1.0,2.0,,2.0,,2.0,2.0,1.0,,,0
3.0,15.0,,1.0,4657.0,,,3.0,2.0,0.0,2.0,2.0,30.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1
1.0,24.0,,3.0,4351.0,4.0,2.0,1.0,1.0,0.0,4.0,1.0,48.0,2.0,1.0,1.0,,1.0,1.0,0.0,1
1.0,12.0,2.0,6.0,,0.0,,4.0,,0.0,,2.0,,2.0,1.0,,2.0,1.0,0.0,0.0,0
0.0,12.0,,3.0,1289.0,,2.0,4.0,2.0,2.0,1.0,1.0,21.0,,,1.0,1.0,,0.0,0.0,1
3.0,15.0,2.0,4.0,,,,,1.0,,2.0,2.0,54.0,0.0,0.0,1.0,3.0,,1.0,0.0,1
1.0,24.0,2.0,0.0,1246.0,0.0,1.0,4.0,2.0,,,0.0,23.0,1.0,,1.0,1.0,,0.0,0.0,0
0.0,21.0,,,2606.0,0.0,1.0,,,,4.0,,28.0,2.0,,,,,1.0,,1
3.0,,,1.0,2993.0,0.0,2.0,3.0,2.0,0.0,2.0,0.0,,1.0,1.0,,1.0,1.0,0.0,,1
,12.0,,3.0,1574.0,,2.0,4.0,2.0,0.0,2.0,0.0,50.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1
2.0,24.0,2.0,4.0,1377.0,1.0,4.0,4.0,1.0,0.0,2.0,3.0,47.0,2.0,2.0,1.0,,,1.0,0.0,1
3.0,,3.0,,,0.0,1.0,2.0,2.0,,,,27.0,,1.0,2.0,2.0,1.0,,0.0,0
2.0,42.0,4.0,1.0,,,,4.0,2.0,0.0,4.0,,,2.0,2.0,1.0,2.0,1.0,0.0,,1
,,4.0,7.0,2012.0,4.0,,4.0,1.0,0.0,,,,,1.0,1.0,2.0,1.0,,,1
3.0,,4.0,0.0,2134.0,,2.0,4.0,2.0,0.0,4.0,,48.0,2.0,1.0,,,1.0,1.0,,1
,24.0,2.0,0.0,1474.0,,1.0,,3.0,0.0,3.0,,33.0,,1.0,1.0,,1.0,1.0,0.0,1
3.0,,2.0,1.0,2445.0,4.0,1.0,,3.0,0.0,,2.0,26.0,2.0,,,,1.0,1.0,,1
1.0,24.0,2.0,4.0,,4.0,4.0,2.0,1.0,,,2.0,42.0,2.0,1.0,1.0,2.0,,1.0,0.0,1
,15.0,,4.0,1316.0,,2.0,2.0,,,2.0,1.0,47.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1
,12.0,,3.0,,1.0,1.0,,,0.0,,2.0,,0.0,0.0,,,1.0,0.0,,0
,,,,2892.0,0.0,4.0,3.0,,0.0,,,51.0,2.0,2.0,,,1.0,,0.0,1
0.0,6.0,2.0,5.0,343.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,27.0,2.0,1.0,1.0,2.0,1.0,,0.0,1
3.0,,2.0,,1979.0,4.0,4.0,4.0,2.0,,2.0,2.0,35.0,2.0,,1.0,2.0,1.0,,0.0,1
3.0,12.0,,,3059.0,,,2.0,0.0,,4.0,,61.0,,,,1.0,1.0,0.0,0.0,1
,18.0,4.0,6.0,1190.0,,0.0,,1.0,,4.0,3.0,55.0,2.0,2.0,3.0,0.0,,0.0,0.0,0
,12.0,2.0,,754.0,,4.0,4.0,2.0,0.0,,1.0,38.0,2.0,1.0,2.0,2.0,1.0,,0.0,1
,,,0.0,2122.0,0.0,,3.0,2.0,0.0,2.0,0.0,39.0,,0.0,2.0,1.0,2.0,0.0,1.0,1
,21.0,,1.0,3275.0,,4.0,1.0,2.0,,4.0,,36.0,2.0,1.0,,,,1.0,0.0,1
0.0,13.0,4.0,9.0,1797.0,0.0,1.0,3.0,2.0,,1.0,1.0,28.0,,,2.0,,1.0,0.0,0.0,1
3.0,22.0,,,1283.0,4.0,3.0,4.0,1.0,,4.0,,25.0,,,1.0,2.0,,,,1
1.0,6.0,3.0,,1050.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,35.0,,,2.0,3.0,1.0,1.0,,1
0.0,18.0,2.0,1.0,7511.0,4.0,4.0,1.0,2.0,0.0,,1.0,51.0,2.0,2.0,1.0,2.0,2.0,,0.0,0
1.0,24.0,2.0,0.0,3512.0,,3.0,2.0,2.0,,3.0,2.0,,0.0,,2.0,,1.0,1.0,,1
,6.0,,,700.0,,,4.0,2.0,0.0,4.0,,36.0,2.0,2.0,2.0,2.0,,0.0,0.0,1
1.0,13.0,4.0,4.0,882.0,0.0,,,2.0,2.0,4.0,0.0,23.0,2.0,,2.0,2.0,1.0,0.0,0.0,1
,24.0,2.0,0.0,1393.0,0.0,2.0,,,2.0,2.0,0.0,31.0,2.0,,1.0,,,1.0,,1
,21.0,2.0,4.0,1835.0,,2.0,3.0,1.0,,2.0,0.0,25.0,2.0,,,2.0,,1.0,0.0,0
0.0,6.0,4.0,0.0,1361.0,0.0,,2.0,2.0,0.0,4.0,0.0,40.0,2.0,1.0,1.0,1.0,2.0,,1.0,1
3.0,24.0,2.0,1.0,2679.0,,,4.0,,0.0,1.0,3.0,29.0,,1.0,,3.0,,1.0,,1
,,2.0,,428.0,0.0,4.0,,,,1.0,1.0,49.0,0.0,,1.0,2.0,1.0,1.0,,1
,18.0,2.0,3.0,2659.0,3.0,,4.0,,,2.0,2.0,28.0,2.0,1.0,1.0,,,0.0,0.0,1
,42.0,2.0,4.0,3965.0,0.0,1.0,4.0,2.0,0.0,,2.0,34.0,,1.0,,2.0,1.0,0.0,0.0,0
3.0,,,8.0,937.0,,1.0,,3.0,,3.0,,27.0,2.0,1.0,,1.0,1.0,0.0,0.0,1
0.0,12.0,,0.0,,,1.0,4.0,2.0,0.0,2.0,,,,,,,1.0,,,0
0.0,36.0,2.0,0.0,,0.0,,,2.0,0.0,4.0,3.0,39.0,,,,,2.0,,0.0,1
3.0,15.0,2.0,3.0,,2.0,2.0,2.0,1.0,0.0,4.0,,20.0,2.0,0.0,,,1.0,,,1
3.0,24.0,4.0,3.0,1585.0,0.0,3.0,,2.0,0.0,,1.0,40.0,,,2.0,2.0,,0.0,0.0,1
0.0,12.0,,,,0.0,,2.0,2.0,,2.0,1.0,,2.0,,1.0,1.0,2.0,0.0,0.0,1
,30.0,2.0,,,4.0,2.0,4.0,1.0,0.0,1.0,,26.0,,1.0,,2.0,1.0,0.0,,1
,24.0,,4.0,,,4.0,,2.0,,4.0,1.0,53.0,2.0,1.0,2.0,2.0,1.0,0.0,,1
1.0,9.0,2.0,0.0,,0.0,,,3.0,0.0,,0.0,22.0,2.0,0.0,1.0,,,0.0,0.0,1
,36.0,3.0,9.0,9857.0,1.0,3.0,1.0,,0.0,,1.0,31.0,2.0,,,1.0,,1.0,,1
3.0,,4.0,3.0,2028.0,,3.0,,2.0,0.0,2.0,1.0,30.0,2.0,,,1.0,,0.0,0.0,1
3.0,24.0,2.0,4.0,1278.0,,,,2.0,0.0,1.0,0.0,36.0,,1.0,,3.0,1.0,,0.0,1
3.0,12.0,4.0,,717.0,,,4.0,,0.0,4.0,0.0,52.0,,,,,1.0,,,1
3.0,18.0,2.0,3.0,1533.0,,,4.0,,1.0,,1.0,43.0,2.0,1.0,1.0,,2.0,,,0
0.0,45.0,,9.0,11816.0,0.0,4.0,,2.0,0.0,4.0,,,2.0,0.0,2.0,2.0,,0.0,0.0,0
,9.0,2.0,,1549.0,4.0,1.0,4.0,2.0,0.0,2.0,0.0,,,1.0,1.0,0.0,1.0,0.0,0.0,1
2.0,12.0,2.0,3.0,2251.0,,2.0,,,,,2.0,46.0,2.0,,,,1.0,0.0,,1
0.0,12.0,,0.0,1228.0,,,4.0,1.0,0.0,2.0,0.0,24.0,,,1.0,1.0,1.0,0.0,,0
3.0,30.0,4.0,4.0,,,3.0,3.0,2.0,1.0,,,38.0,,1.0,1.0,,1.0,0.0,0.0,1
,12.0,4.0,7.0,701.0,,2.0,4.0,,0.0,2.0,2.0,,,,2.0,2.0,1.0,0.0,,1
3.0,36.0,3.0,,10875.0,,,,,,2.0,2.0,45.0,,1.0,,,,1.0,0.0,1
1.0,12.0,,,,0.0,,,,2.0,3.0,0.0,,0.0,,,1.0,1.0,0.0,0.0,1
,18.0,4.0,4.0,,0.0,3.0,4.0,3.0,,1.0,1.0,,2.0,1.0,,3.0,1.0,1.0,0.0,1
3.0,4.0,4.0,4.0,1503.0,,,2.0,2.0,0.0,,0.0,42.0,,1.0,2.0,1.0,2.0,,0.0,1
3.0,21.0,2.0,,2241.0,,,4.0,,0.0,2.0,0.0,50.0,2.0,1.0,,2.0,,,,1
3.0,,2.0,4.0,3181.0,0.0,1.0,4.0,1.0,0.0,4.0,1.0,26.0,2.0,1.0,1.0,2.0,1.0,,0.0,1
3.0,,4.0,4.0,1800.0,0.0,2.0,4.0,2.0,,2.0,2.0,24.0,2.0,,,2.0,,0.0,0.0,1
3.0,12.0,4.0,,,0.0,,2.0,2.0,0.0,4.0,1.0,42.0,,,,2.0,,0.0,0.0,1
2.0,,4.0,7.0,1047.0,0.0,2.0,,1.0,,4.0,1.0,50.0,,1.0,1.0,1.0,,0.0,0.0,1
,,4.0,,,0.0,3.0,4.0,1.0,,3.0,1.0,,2.0,,2.0,,1.0,0.0,1.0,1
,6.0,2.0,,,0.0,,4.0,,0.0,4.0,2.0,28.0,2.0,1.0,,2.0,2.0,0.0,,1
1.0,9.0,4.0,,1919.0,,3.0,4.0,2.0,,3.0,,35.0,2.0,0.0,1.0,,1.0,1.0,0.0,1
,36.0,2.0,1.0,,0.0,1.0,,,0.0,,2.0,28.0,,,,,,1.0,0.0,0
0.0,30.0,2.0,3.0,6350.0,4.0,4.0,4.0,2.0,0.0,4.0,,31.0,,1.0,1.0,2.0,1.0,0.0,0.0,0
,11.0,,3.0,1577.0,3.0,1.0,4.0,1.0,,1.0,0.0,20.0,2.0,1.0,1.0,,,0.0,0.0,1
3.0,14.0,3.0,,,0.0,2.0,4.0,2.0,,2.0,2.0,27.0,2.0,1.0,2.0,1.0,1.0,,0.0,1
1.0,27.0,,9.0,2528.0,0.0,1.0,4.0,,0.0,1.0,1.0,32.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,1
,,3.0,,1555.0,3.0,4.0,4.0,2.0,0.0,,3.0,55.0,2.0,,2.0,2.0,2.0,,0.0,0
1.0,,,,3979.0,4.0,,4.0,,0.0,1.0,2.0,41.0,2.0,1.0,2.0,,2.0,,0.0,1
0.0,6.0,2.0,,2647.0,,,,2.0,0.0,,0.0,44.0,2.0,0.0,1.0,2.0,2.0,,0.0,1
0.0,18.0,2.0,0.0,4380.0,1.0,,3.0,2.0,0.0,,,,,1.0,1.0,1.0,2.0,,,1
0.0,36.0,2.0,3.0,,0.0,,4.0,,0.0,2.0,1.0,29.0,,1.0,,,1.0,,0.0,0
,,,4.0,2073.0,1.0,,4.0,,,,0.0,28.0,,1.0,1.0,,1.0,,0.0,1
3.0,,2.0,,2210.0,0.0,,,2.0,0.0,,0.0,25.0,0.0,0.0,1.0,1.0,1.0,,0.0,0
,,2.0,3.0,959.0,0.0,2.0,1.0,,,2.0,2.0,29.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0
1.0,48.0,0.0,,18424.0,0.0,2.0,1.0,,,2.0,1.0,32.0,0.0,1.0,,3.0,1.0,,1.0,0
3.0,27.0,4.0,3.0,,3.0,,4.0,,0.0,,0.0,32.0,1.0,,2.0,1.0,2.0,1.0,0.0,1
3.0,12.0,4.0,,,2.0,4.0,,2.0,0.0,,1.0,42.0,2.0,,2.0,2.0,,1.0,0.0,1
,60.0,,,10366.0,0.0,4.0,2.0,,0.0,4.0,,42.0,2.0,1.0,1.0,,1.0,,0.0,1
3.0,28.0,4.0,,2743.0,0.0,4.0,4.0,2.0,0.0,2.0,,29.0,2.0,1.0,2.0,,1.0,,0.0,1
,15.0,2.0,9.0,,0.0,,2.0,,0.0,4.0,1.0,26.0,2.0,0.0,1.0,2.0,1.0,,0.0,1
,18.0,,,1301.0,,4.0,,3.0,,,0.0,,2.0,,1.0,1.0,1.0,,0.0,1
,20.0,2.0,3.0,2212.0,4.0,,4.0,,,,2.0,39.0,2.0,,1.0,,,1.0,0.0,1
0.0,24.0,2.0,0.0,,4.0,2.0,4.0,1.0,0.0,2.0,,35.0,2.0,1.0,1.0,2.0,1.0,,0.0,0
0.0,24.0,2.0,3.0,3149.0,0.0,1.0,4.0,,,1.0,,22.0,0.0,2.0,,2.0,1.0,0.0,0.0,1
0.0,12.0,2.0,4.0,727.0,,1.0,4.0,3.0,0.0,3.0,3.0,33.0,2.0,1.0,,1.0,1.0,,,0
0.0,,2.0,0.0,1207.0,,,4.0,1.0,,,,,,,,,,0.0,0.0,0
,,2.0,,,,,3.0,,0.0,3.0,2.0,,2.0,1.0,1.0,3.0,1.0,1.0,,1
,12.0,,,,1.0,,4.0,2.0,0.0,1.0,2.0,27.0,2.0,1.0,,,1.0,0.0,0.0,1
3.0,15.0,2.0,,2708.0,,,,,0.0,,1.0,,0.0,,2.0,,1.0,0.0,0.0,1
3.0,15.0,4.0,,,0.0,2.0,4.0,2.0,0.0,2.0,1.0,31.0,2.0,1.0,2.0,,1.0,,0.0,1
,6.0,4.0,4.0,1554.0,,3.0,1.0,1.0,0.0,2.0,,24.0,2.0,0.0,2.0,,,1.0,,1
1.0,,,,,4.0,,1.0,,,3.0,,39.0,2.0,,2.0,1.0,1.0,,0.0,1
3.0,24.0,2.0,,,2.0,4.0,3.0,,,2.0,2.0,,2.0,1.0,1.0,,1.0,1.0,,1
0.0,,4.0,,10623.0,0.0,4.0,3.0,2.0,0.0,4.0,3.0,38.0,,2.0,3.0,3.0,2.0,1.0,,1
1.0,30.0,4.0,0.0,2181.0,4.0,4.0,4.0,2.0,0.0,,0.0,36.0,,,2.0,,,0.0,0.0,1
,9.0,,,3074.0,4.0,2.0,,2.0,0.0,,0.0,33.0,2.0,,,2.0,,0.0,0.0,1
1.0,60.0,3.0,4.0,9157.0,4.0,2.0,2.0,,0.0,2.0,3.0,27.0,2.0,2.0,,3.0,,0.0,0.0,1
3.0,6.0,0.0,0.0,1204.0,1.0,,,2.0,0.0,1.0,,,,,1.0,2.0,1.0,,1.0,1
,,4.0,0.0,1940.0,3.0,4.0,4.0,2.0,,4.0,0.0,60.0,,1.0,1.0,,1.0,1.0,0.0,1
3.0,18.0,,4.0,1473.0,,1.0,3.0,,,,0.0,39.0,2.0,1.0,,2.0,,1.0,0.0,1
3.0,11.0,4.0,0.0,1393.0,0.0,,4.0,,,4.0,2.0,35.0,2.0,1.0,2.0,3.0,,0.0,,1
1.0,,2.0,0.0,,1.0,2.0,,2.0,0.0,,,,2.0,1.0,,2.0,,1.0,0.0,1
,36.0,3.0,,,0.0,2.0,,1.0,0.0,4.0,,,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1
3.0,,,1.0,6313.0,,4.0,,2.0,0.0,4.0,2.0,,2.0,,1.0,3.0,2.0,1.0,0.0,1
