age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
43,3,173321,11,9,0,0,1,4,0,0,0,40,38,0
20,3,179423,15,10,4,5,3,4,0,0,0,8,38,0
35,3,172186,15,10,5,2,1,4,1,0,0,40,38,0
44,3,187821,9,13,2,13,0,4,1,0,0,55,38,0
28,3,166320,11,9,4,9,1,4,1,0,0,40,38,0
17,3,142912,0,6,4,7,3,4,1,0,0,40,38,0
42,5,308279,9,13,2,9,0,4,1,0,0,21,38,0
61,3,40269,15,10,2,11,0,4,1,0,0,40,38,1
18,3,761006,1,7,4,7,3,4,0,0,0,20,38,0
26,3,58426,11,9,2,9,0,4,1,0,0,50,38,0
29,3,178272,11,9,2,10,0,4,1,0,0,40,38,0
33,3,273243,11,9,2,2,0,2,1,0,0,40,38,0
46,3,34377,7,12,2,2,0,4,1,0,0,40,38,1
30,1,235271,9,13,2,9,0,4,1,0,0,50,38,1
46,3,35969,9,13,2,3,0,4,1,0,0,51,38,0
21,3,417668,11,9,4,5,3,4,1,0,0,36,38,0
36,3,194905,9,13,6,9,4,4,0,0,0,44,38,0
17,3,47771,1,7,4,9,3,4,0,0,0,20,38,0
18,3,120283,2,8,4,11,3,4,0,0,0,24,38,0
21,3,177526,15,10,4,7,3,4,1,0,0,40,38,0
39,3,187847,11,9,0,6,3,4,1,0,0,50,38,0
38,3,114591,9,13,2,9,5,4,0,15024,0,40,38,1
58,3,104613,7,12,2,3,0,4,1,0,0,50,38,1
47,5,162924,9,13,0,3,1,1,1,0,0,60,23,0
46,0,330901,15,10,2,3,0,2,1,0,0,40,38,0
22,3,401762,11,9,4,0,1,4,0,0,0,55,38,0
40,3,226388,11,9,2,2,0,2,1,0,0,40,38,0
38,3,229180,9,13,4,3,4,4,0,0,0,40,4,0
22,3,231053,1,7,2,6,0,4,1,0,0,70,38,1
52,3,99185,11,9,2,11,0,4,1,7298,0,50,38,1
39,3,79331,12,14,2,3,0,1,1,15024,0,40,38,1
23,3,174626,11,9,4,5,3,4,1,0,0,25,38,0
37,3,360743,15,10,2,2,0,2,1,0,0,40,38,0
47,3,418961,8,11,0,11,4,2,0,0,0,25,38,0
23,3,196508,15,10,4,5,3,2,0,0,0,40,38,0
31,3,59083,11,9,2,7,0,4,1,0,0,35,38,0
34,3,187251,11,9,0,9,4,4,0,0,0,25,38,0
20,3,122215,11,9,4,7,3,2,1,0,0,52,38,0
53,3,191565,3,2,0,7,4,2,0,0,0,40,5,0
20,-1,114969,11,9,4,-1,3,4,1,0,0,40,38,0
26,3,292353,5,4,2,6,0,3,1,0,0,40,38,0
60,1,255711,9,13,6,9,4,4,0,0,0,60,38,1
36,3,150042,11,9,4,0,3,4,0,0,0,40,38,0
44,4,359259,11,9,0,2,1,4,1,0,0,60,31,0
40,3,153238,9,13,2,3,0,4,1,0,1902,32,38,1
44,3,207685,11,9,4,3,1,4,1,0,1564,55,8,1
57,1,323309,5,4,0,7,1,4,1,0,0,40,38,0
46,3,138626,15,10,2,2,0,4,1,0,0,40,38,0
46,0,349230,8,11,2,12,0,4,1,0,1848,40,38,1
53,3,204584,12,14,0,11,1,4,0,0,0,40,38,0
35,3,133906,11,9,0,0,4,4,0,0,0,40,38,0
36,3,201117,9,13,2,3,0,4,1,0,0,50,38,0
49,1,276247,15,10,2,10,0,4,1,0,0,40,38,0
40,3,316820,5,4,2,11,0,4,1,4064,0,40,38,0
23,3,163870,15,10,4,2,3,4,1,0,0,40,38,0
58,6,109567,10,16,2,9,0,4,1,0,0,1,38,1
29,3,351731,15,10,2,9,0,4,1,0,0,40,38,0
67,3,158301,11,9,0,13,1,4,1,0,0,60,38,0
