checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
3,39,2,1,2569,2,2,4,2,0,4,2,24,2,1,1,2,1,0,0,1
0,36,2,3,2712,0,4,2,2,0,2,1,41,0,1,1,2,2,0,0,0
0,24,2,0,1371,4,2,4,1,0,4,0,25,2,0,1,2,1,0,0,0
0,8,4,2,1164,0,4,3,2,0,4,3,51,0,2,2,3,2,1,0,1
3,24,3,9,2978,4,2,4,2,0,4,0,32,2,1,2,2,2,1,0,1
1,60,2,0,7408,1,1,4,1,0,2,1,24,2,1,1,3,1,0,0,0
1,18,4,3,7374,0,0,4,2,0,4,1,40,1,1,2,3,1,1,0,1
3,9,4,0,1224,0,2,3,2,0,1,0,30,2,1,2,2,1,0,0,1
3,15,2,1,3812,1,1,1,1,0,4,2,23,2,1,1,2,1,1,0,1
1,18,2,3,3001,0,3,2,1,0,4,0,40,2,0,1,2,1,0,0,1
1,12,2,0,836,1,1,4,1,0,2,1,23,0,1,1,1,1,0,0,0
3,24,4,0,1287,3,4,4,1,0,4,0,37,2,1,2,2,1,1,0,1
3,30,4,4,5771,0,3,4,1,0,2,2,25,2,1,2,2,1,0,0,1
0,6,4,0,609,0,3,4,1,0,3,1,37,2,1,2,2,1,0,1,1
0,24,2,4,1282,1,2,4,1,0,2,2,32,2,1,1,1,1,0,0,0
1,12,2,0,888,0,4,4,2,0,4,2,41,0,1,1,1,2,0,0,0
0,18,2,3,2462,0,2,2,2,0,2,2,22,2,1,1,2,1,0,0,0
0,42,3,4,4370,0,3,3,2,0,2,1,26,0,1,2,2,2,1,0,0
3,60,3,4,15653,0,3,2,2,0,4,2,21,2,1,2,2,1,1,0,1
3,15,4,7,1532,1,2,4,1,0,3,2,31,2,1,1,2,1,0,0,1
1,9,2,3,918,0,2,4,1,0,1,1,30,2,1,1,2,1,0,0,0
1,18,2,3,1924,4,1,4,1,0,3,0,27,2,0,1,2,1,0,0,0
3,18,1,0,6458,0,4,2,2,0,4,3,39,0,1,2,3,2,1,0,0
3,15,2,4,1386,4,2,4,3,0,2,0,40,2,0,1,2,1,1,0,1
3,15,3,3,960,3,3,3,1,0,2,1,30,2,1,2,2,1,0,0,1
3,21,2,1,5248,4,2,1,2,0,3,2,26,2,1,1,2,1,0,0,1
3,24,4,3,3777,3,2,4,2,0,4,0,50,2,1,1,2,1,1,0,1
0,12,2,3,3590,0,2,2,2,1,2,1,29,2,1,1,1,2,0,0,1
0,18,2,0,2249,1,3,4,2,0,3,2,30,2,1,1,3,2,1,0,1
3,24,3,3,4151,1,2,2,2,0,3,1,35,2,1,2,2,1,0,0,1
2,42,0,9,6289,0,1,2,0,0,1,1,33,2,1,2,2,1,0,0,1
