dataset,model,accuracy,f1,auc,train_time,infer_time_ms,peak_memory_mb
adult,LightGBM_0missing,0.8672,0.8083,0.9227,3.45,0.0008,519.19
adult,LightGBM_10missing,0.861,0.7983,0.9139,3.95,0.001,415.88
adult,LightGBM_20missing,0.8541,0.7856,0.9054,2.67,0.0008,418.91
adult,LightGBM_30missing,0.8456,0.7712,0.894,3.23,0.0013,414.51
credit-g,LightGBM_0missing,0.76,0.6828,0.7508,3.87,0.0067,409.59
credit-g,LightGBM_10missing,0.75,0.6681,0.7547,3.85,0.0067,408.55
credit-g,LightGBM_20missing,0.7367,0.6473,0.7421,3.71,0.0067,411.05
credit-g,LightGBM_30missing,0.72,0.6198,0.7261,3.68,0.0067,412.71
covtype,LightGBM_0missing,0.8514,0.8291,0.9795,4.61,0.0032,973.03
covtype,LightGBM_10missing,0.8038,0.7379,0.9598,5.79,0.0038,1127.0
covtype,LightGBM_20missing,0.7672,0.6779,0.9565,6.46,0.0045,1332.56
covtype,LightGBM_30missing,0.7345,0.6223,0.9416,7.14,0.0053,828.67
