dataset,model,accuracy,f1,auc,train_time,infer_time_ms,peak_memory_mb
adult,LightGBM_1000samples,0.8247,0.747,0.8781,2.77,0.0015,477.52
adult,LightGBM_1626samples,0.833,0.7607,0.8888,3.23,0.0011,399.62
adult,LightGBM_2645samples,0.8433,0.7735,0.899,3.46,0.0015,403.93
adult,LightGBM_4303samples,0.8507,0.7815,0.909,3.25,0.0012,405.11
adult,LightGBM_7000samples,0.8623,0.8,0.9174,3.36,0.0011,407.66
covtype,LightGBM_1000samples,0.7066,0.482,0.8678,2.76,0.0054,426.34
covtype,LightGBM_2432samples,0.7449,0.547,0.9041,2.81,0.0047,423.81
covtype,LightGBM_5916samples,0.7811,0.6219,0.9409,2.9,0.0041,434.85
covtype,LightGBM_14389samples,0.8235,0.7264,0.9667,3.24,0.0037,445.04
covtype,LightGBM_35000samples,0.8412,0.7818,0.9778,3.71,0.0035,461.02
credit-g,LightGBM_700samples,0.76,0.6828,0.7508,3.36,0.0046,446.51
