dataset,model,accuracy,f1,auc,train_time,infer_time_ms,peak_memory_mb
adult,XGBoost_1000samples,0.8234,0.7499,0.8767,3.14,0.0007,399.19
adult,XGBoost_10000samples,0.8614,0.8021,0.9135,4.08,0.001,410.73
covtype,XGBoost_1000samples,0.7023,0.5013,0.8856,3.15,0.001,561.02
covtype,XGBoost_10000samples,0.806,0.6865,0.9556,4.2,0.0011,577.89
covtype,XGBoost_100000samples,0.8592,0.8173,0.9846,3.42,0.0013,682.42
credit-g,XGBoost_700samples,0.7167,0.6392,0.7376,3.98,0.0267,512.38
adult,XGBoost_1000samples,0.8234,0.7499,0.8767,2.97,0.0018,394.42
adult,XGBoost_10000samples,0.8614,0.8021,0.9135,3.5,0.0009,405.01
covtype,XGBoost_1000samples,0.7095,0.485,0.8699,3.27,0.0013,443.26
covtype,XGBoost_10000samples,0.8075,0.7102,0.9602,3.89,0.0017,460.91
covtype,XGBoost_100000samples,0.8621,0.8217,0.9853,3.33,0.0016,566.47
credit-g,XGBoost_700samples,0.7167,0.6392,0.7376,4.15,0.0268,504.07
