dataset,model,accuracy,f1,auc,train_time,infer_time_ms,peak_memory_mb
adult,LightGBM,0.8672,0.8083,0.9227,3.26,0.0009,371.61
adult,LightGBM,0.8672,0.8083,0.9227,3.26,0.0009,371.61
adult,LightGBM,0.8672,0.8083,0.9227,3.26,0.0009,371.61
adult,LightGBM,0.8672,0.8083,0.9227,3.26,0.0009,371.61
adult,LightGBM,0.8672,0.8083,0.9227,3.26,0.0009,371.61
adult,LightGBM,0.8672,0.8083,0.9227,3.26,0.0009,371.61
adult,LightGBM,0.8672,0.8083,0.9227,3.26,0.0009,371.61
adult,LightGBM,0.8672,0.8083,0.9227,3.26,0.0009,371.61
adult,LightGBM,0.8672,0.8083,0.9227,3.26,0.0009,371.61
adult,LightGBM,0.8672,0.8083,0.9227,3.26,0.0009,371.61
adult,LightGBM_0missing,0.8672,0.8083,0.9227,3.14,0.0008,502.97
adult,LightGBM_0missing,0.8672,0.8083,0.9227,3.14,0.0008,502.97
adult,LightGBM_0missing,0.8672,0.8083,0.9227,3.14,0.0008,502.97
adult,LightGBM_0missing,0.8672,0.8083,0.9227,3.14,0.0008,502.97
adult,LightGBM_0missing,0.8672,0.8083,0.9227,3.14,0.0008,502.97
adult,LightGBM_0missing,0.8672,0.8083,0.9227,3.14,0.0008,502.97
adult,LightGBM_0missing,0.8672,0.8083,0.9227,3.14,0.0008,502.97
adult,LightGBM_0missing,0.8672,0.8083,0.9227,3.14,0.0008,502.97
adult,LightGBM_0missing,0.8672,0.8083,0.9227,3.14,0.0008,502.97
adult,LightGBM_0missing,0.8672,0.8083,0.9227,3.14,0.0008,502.97
adult,LightGBM_10000samples,0.8659,0.8062,0.918,3.4,0.0008,405.27
adult,LightGBM_1000samples,0.8248,0.7496,0.8808,3.6,0.0017,486.62
adult,LightGBM_10missing,0.861,0.7983,0.9139,4.65,0.001,415.83
adult,LightGBM_10missing,0.861,0.7983,0.9139,4.65,0.001,415.83
adult,LightGBM_10missing,0.861,0.7983,0.9139,4.65,0.001,415.83
adult,LightGBM_10missing,0.861,0.7983,0.9139,4.65,0.001,415.83
adult,LightGBM_10missing,0.861,0.7983,0.9139,4.65,0.001,415.83
adult,LightGBM_10missing,0.861,0.7983,0.9139,4.65,0.001,415.83
adult,LightGBM_10missing,0.861,0.7983,0.9139,4.65,0.001,415.83
adult,LightGBM_10missing,0.861,0.7983,0.9139,4.65,0.001,415.83
adult,LightGBM_10missing,0.861,0.7983,0.9139,4.65,0.001,415.83
adult,LightGBM_10missing,0.861,0.7983,0.9139,4.65,0.001,415.83
adult,LightGBM_20missing,0.8541,0.7856,0.9054,3.97,0.0013,416.68
adult,LightGBM_20missing,0.8541,0.7856,0.9054,3.97,0.0013,416.68
adult,LightGBM_20missing,0.8541,0.7856,0.9054,3.97,0.0013,416.68
adult,LightGBM_20missing,0.8541,0.7856,0.9054,3.97,0.0013,416.68
adult,LightGBM_20missing,0.8541,0.7856,0.9054,3.97,0.0013,416.68
adult,LightGBM_20missing,0.8541,0.7856,0.9054,3.97,0.0013,416.68
adult,LightGBM_20missing,0.8541,0.7856,0.9054,3.97,0.0013,416.68
adult,LightGBM_20missing,0.8541,0.7856,0.9054,3.97,0.0013,416.68
adult,LightGBM_20missing,0.8541,0.7856,0.9054,3.97,0.0013,416.68
adult,LightGBM_20missing,0.8541,0.7856,0.9054,3.97,0.0013,416.68
adult,LightGBM_30missing,0.8456,0.7712,0.894,2.7,0.0012,414.79
adult,LightGBM_30missing,0.8456,0.7712,0.894,2.7,0.0012,414.79
adult,LightGBM_30missing,0.8456,0.7712,0.894,2.7,0.0012,414.79
adult,LightGBM_30missing,0.8456,0.7712,0.894,2.7,0.0012,414.79
adult,LightGBM_30missing,0.8456,0.7712,0.894,2.7,0.0012,414.79
adult,LightGBM_30missing,0.8456,0.7712,0.894,2.7,0.0012,414.79
adult,LightGBM_30missing,0.8456,0.7712,0.894,2.7,0.0012,414.79
adult,LightGBM_30missing,0.8456,0.7712,0.894,2.7,0.0012,414.79
adult,LightGBM_30missing,0.8456,0.7712,0.894,2.7,0.0012,414.79
adult,LightGBM_30missing,0.8456,0.7712,0.894,2.7,0.0012,414.79
adult,LogisticRegression,0.7873,0.6322,0.7171,2.87,0.0001,271.45
adult,LogisticRegression,0.8042,0.6766,0.8089,3.38,0.0001,271.3
adult,LogisticRegression,0.7873,0.6322,0.7171,2.87,0.0001,271.45
adult,LogisticRegression,0.8042,0.6766,0.8089,3.38,0.0001,271.3
adult,LogisticRegression,0.7873,0.6322,0.7171,2.87,0.0001,271.45
adult,LogisticRegression,0.8042,0.6766,0.8089,3.38,0.0001,271.3
adult,LogisticRegression,0.7873,0.6322,0.7171,2.87,0.0001,271.45
adult,LogisticRegression,0.8042,0.6766,0.8089,3.38,0.0001,271.3
adult,LogisticRegression,0.7873,0.6322,0.7171,2.87,0.0001,271.45
adult,LogisticRegression,0.8042,0.6766,0.8089,3.38,0.0001,271.3
adult,LogisticRegression,0.7873,0.6322,0.7171,2.87,0.0001,271.45
adult,LogisticRegression,0.8042,0.6766,0.8089,3.38,0.0001,271.3
adult,LogisticRegression,0.7873,0.6322,0.7171,2.87,0.0001,271.45
adult,LogisticRegression,0.8042,0.6766,0.8089,3.38,0.0001,271.3
adult,LogisticRegression,0.7873,0.6322,0.7171,2.87,0.0001,271.45
adult,LogisticRegression,0.8042,0.6766,0.8089,3.38,0.0001,271.3
adult,LogisticRegression,0.7873,0.6322,0.7171,2.87,0.0001,271.45
adult,LogisticRegression,0.8042,0.6766,0.8089,3.38,0.0001,271.3
adult,LogisticRegression,0.7873,0.6322,0.7171,2.87,0.0001,271.45
adult,LogisticRegression,0.8042,0.6766,0.8089,3.38,0.0001,271.3
adult,XGBoost,0.8662,0.8078,0.9206,3.06,0.0008,379.76
adult,XGBoost,0.8662,0.8078,0.9206,3.06,0.0008,379.76
adult,XGBoost,0.8662,0.8078,0.9206,3.06,0.0008,379.76
adult,XGBoost,0.8662,0.8078,0.9206,3.06,0.0008,379.76
adult,XGBoost,0.8662,0.8078,0.9206,3.06,0.0008,379.76
adult,XGBoost,0.8662,0.8078,0.9206,3.06,0.0008,379.76
adult,XGBoost,0.8662,0.8078,0.9206,3.06,0.0008,379.76
adult,XGBoost,0.8662,0.8078,0.9206,3.06,0.0008,379.76
adult,XGBoost,0.8662,0.8078,0.9206,3.06,0.0008,379.76
adult,XGBoost,0.8662,0.8078,0.9206,3.06,0.0008,379.76
adult,XGBoost_0missing,0.8662,0.8078,0.9206,3.75,0.001,410.03
adult,XGBoost_0missing,0.8662,0.8078,0.9206,3.75,0.001,410.03
adult,XGBoost_0missing,0.8662,0.8078,0.9206,3.75,0.001,410.03
adult,XGBoost_0missing,0.8662,0.8078,0.9206,3.75,0.001,410.03
adult,XGBoost_0missing,0.8662,0.8078,0.9206,3.75,0.001,410.03
adult,XGBoost_0missing,0.8662,0.8078,0.9206,3.75,0.001,410.03
adult,XGBoost_0missing,0.8662,0.8078,0.9206,3.75,0.001,410.03
adult,XGBoost_0missing,0.8662,0.8078,0.9206,3.75,0.001,410.03
adult,XGBoost_0missing,0.8662,0.8078,0.9206,3.75,0.001,410.03
adult,XGBoost_0missing,0.8662,0.8078,0.9206,3.75,0.001,410.03
adult,XGBoost_10000samples,0.8614,0.8021,0.9135,3.49,0.0008,405.33
adult,XGBoost_1000samples,0.8234,0.7499,0.8767,4.49,0.001,396.84
adult,XGBoost_10missing,0.8538,0.7897,0.9084,3.73,0.0009,418.8
adult,XGBoost_10missing,0.8538,0.7897,0.9084,3.73,0.0009,418.8
adult,XGBoost_10missing,0.8538,0.7897,0.9084,3.73,0.0009,418.8
adult,XGBoost_10missing,0.8538,0.7897,0.9084,3.73,0.0009,418.8
adult,XGBoost_10missing,0.8538,0.7897,0.9084,3.73,0.0009,418.8
adult,XGBoost_10missing,0.8538,0.7897,0.9084,3.73,0.0009,418.8
adult,XGBoost_10missing,0.8538,0.7897,0.9084,3.73,0.0009,418.8
adult,XGBoost_10missing,0.8538,0.7897,0.9084,3.73,0.0009,418.8
adult,XGBoost_10missing,0.8538,0.7897,0.9084,3.73,0.0009,418.8
adult,XGBoost_10missing,0.8538,0.7897,0.9084,3.73,0.0009,418.8
adult,XGBoost_20missing,0.8522,0.786,0.9018,2.91,0.0013,423.46
adult,XGBoost_20missing,0.8522,0.786,0.9018,2.91,0.0013,423.46
adult,XGBoost_20missing,0.8522,0.786,0.9018,2.91,0.0013,423.46
adult,XGBoost_20missing,0.8522,0.786,0.9018,2.91,0.0013,423.46
adult,XGBoost_20missing,0.8522,0.786,0.9018,2.91,0.0013,423.46
adult,XGBoost_20missing,0.8522,0.786,0.9018,2.91,0.0013,423.46
adult,XGBoost_20missing,0.8522,0.786,0.9018,2.91,0.0013,423.46
adult,XGBoost_20missing,0.8522,0.786,0.9018,2.91,0.0013,423.46
adult,XGBoost_20missing,0.8522,0.786,0.9018,2.91,0.0013,423.46
adult,XGBoost_20missing,0.8522,0.786,0.9018,2.91,0.0013,423.46
adult,XGBoost_30missing,0.846,0.7749,0.8914,3.08,0.0012,415.77
adult,XGBoost_30missing,0.846,0.7749,0.8914,3.08,0.0012,415.77
adult,XGBoost_30missing,0.846,0.7749,0.8914,3.08,0.0012,415.77
adult,XGBoost_30missing,0.846,0.7749,0.8914,3.08,0.0012,415.77
adult,XGBoost_30missing,0.846,0.7749,0.8914,3.08,0.0012,415.77
adult,XGBoost_30missing,0.846,0.7749,0.8914,3.08,0.0012,415.77
adult,XGBoost_30missing,0.846,0.7749,0.8914,3.08,0.0012,415.77
adult,XGBoost_30missing,0.846,0.7749,0.8914,3.08,0.0012,415.77
adult,XGBoost_30missing,0.846,0.7749,0.8914,3.08,0.0012,415.77
adult,XGBoost_30missing,0.846,0.7749,0.8914,3.08,0.0012,415.77
covtype,LightGBM,0.8514,0.8291,0.9795,4.21,0.0032,835.66
covtype,LightGBM,0.8514,0.8291,0.9795,4.21,0.0032,835.66
covtype,LightGBM,0.8514,0.8291,0.9795,4.21,0.0032,835.66
covtype,LightGBM,0.8514,0.8291,0.9795,4.21,0.0032,835.66
covtype,LightGBM,0.8514,0.8291,0.9795,4.21,0.0032,835.66
covtype,LightGBM,0.8514,0.8291,0.9795,4.21,0.0032,835.66
covtype,LightGBM,0.8514,0.8291,0.9795,4.21,0.0032,835.66
covtype,LightGBM,0.8514,0.8291,0.9795,4.21,0.0032,835.66
covtype,LightGBM,0.8514,0.8291,0.9795,4.21,0.0032,835.66
covtype,LightGBM,0.8514,0.8291,0.9795,4.21,0.0032,835.66
covtype,LightGBM_0missing,0.8514,0.8291,0.9795,5.29,0.0033,991.22
covtype,LightGBM_0missing,0.8514,0.8291,0.9795,5.29,0.0033,991.22
covtype,LightGBM_0missing,0.8514,0.8291,0.9795,5.29,0.0033,991.22
covtype,LightGBM_0missing,0.8514,0.8291,0.9795,5.29,0.0033,991.22
covtype,LightGBM_0missing,0.8514,0.8291,0.9795,5.29,0.0033,991.22
covtype,LightGBM_0missing,0.8514,0.8291,0.9795,5.29,0.0033,991.22
covtype,LightGBM_0missing,0.8514,0.8291,0.9795,5.29,0.0033,991.22
covtype,LightGBM_0missing,0.8514,0.8291,0.9795,5.29,0.0033,991.22
covtype,LightGBM_0missing,0.8514,0.8291,0.9795,5.29,0.0033,991.22
covtype,LightGBM_0missing,0.8514,0.8291,0.9795,5.29,0.0033,991.22
covtype,LightGBM_100000samples,0.8514,0.8034,0.9761,2.36,0.0034,670.63
covtype,LightGBM_10000samples,0.8092,0.6854,0.9546,3.0,0.0041,577.38
covtype,LightGBM_1000samples,0.7045,0.4899,0.8823,2.73,0.0057,557.53
covtype,LightGBM_10missing,0.8038,0.7379,0.9598,7.47,0.0048,1124.77
covtype,LightGBM_10missing,0.8038,0.7379,0.9598,7.47,0.0048,1124.77
covtype,LightGBM_10missing,0.8038,0.7379,0.9598,7.47,0.0048,1124.77
covtype,LightGBM_10missing,0.8038,0.7379,0.9598,7.47,0.0048,1124.77
covtype,LightGBM_10missing,0.8038,0.7379,0.9598,7.47,0.0048,1124.77
covtype,LightGBM_10missing,0.8038,0.7379,0.9598,7.47,0.0048,1124.77
